Name,URL,Host,Email ID,User ID
Login / Sign In SSL [www.groupon.com] [US],/login,www.groupon.com,"['ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",142651
Local Chicago [SEO] [www.groupon.com] [US],/local/chicago,www.groupon.com,"['incident-management@groupon.com', 'imoc-alerts@groupondev.opsgenie.net', 'ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",142658
Deal Images [www.groupon.com] [US],/images/site_images/0969/3650/Emerald-Downs-2.jpg,www.groupon.com,[],345030
Occasions [www.groupon.com] [US],/occasions,www.groupon.com,"['mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net']",740435
Goods [www.groupon.com] [US],/goods,www.groupon.com,"['goods-cx-eng@groupon.com', 'goods-eng-alert@groupon.com', 'goods-gst@groupondev.opsgenie.net']",928280
iTier Checkout [www.groupon.com] [US],/checkout/js/locale.js,www.groupon.com,['i-tier-devs@groupon.com'],1034228
Mobile App Download [www.groupon.com] [US],/mobile,www.groupon.com,"['i-tier-mobile-redirect-page@groupon.pagerduty.com', 'i-tier-mobile-redirect-page@groupondev.opsgenie.net']",1125584
Giftcards [www.groupon.com] [US],/giftcards,www.groupon.com,"['mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net']",1143907
Layout Service,/layout/index.json,www.groupon.com,"['i-tier-devs@groupon.com', 'ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1147384
Cart [www.groupon.com] [US],/cart,www.groupon.com,['checkout@groupon.com'],1147463
My Profile [www.groupon.com] [US],/myprofile,www.groupon.com,"['personalize-alerts@groupon.com', 'mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net']",1165674
Customer Support [www.groupon.com] [US],/customer_support,www.groupon.com,"['mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net']",1167255
Homepage [www.groupon.com] [US],/,www.groupon.com,"['incident-management@groupon.com', 'imoc-alerts@groupondev.opsgenie.net', 'ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1185002
Local Search [NAM] - No viewable pizza deals,"/browse/san-jose?lat=37.3393857&lng=-121.89495549999998&address=San+Jose,+CA,+USA&query=pizza&locale=en_US",www.groupon.com,"['ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1191547
Local Browse [NAM] - No local health and fitness deals,/browse/san-jose?lat=37.3393857&lng=-121.89495549999998&administrative_area=CA&locality=San+Jose&address=San+Jose%2C+CA%2C+USA&category=health-and-fitness&locale=en_US,www.groupon.com,"['ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1192529
Local Browse [NAM] - No buyable events and activities deals exist,/browse/san-jose?category=things-to-do,www.groupon.com,"['ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1192531
Local [www.groupon.com] [US],/browse/san-francisco?context=local&z=skip,www.groupon.com,"['incident-management@groupon.com', 'imoc-alerts@groupondev.opsgenie.net', 'ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1192551
Getaways [www.groupon.com] [US],/getaways,www.groupon.com,"['getaways-chassis@groupon.pagerduty.com', 'getaways-chassis@groupondev.opsgenie.net']",1192553
Coupons [www.groupon.com] [US],/coupons,www.groupon.com,['coupons-alerts@groupon.com'],1192555
Local Browse San Jose Events [www.groupon.com] [US],/browse/san-jose?category=things-to-do&subcategory=tickets-and-events,www.groupon.com,"['incident-management@groupon.com', 'imoc-alerts@groupondev.opsgenie.net', 'ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1268024
Deal Monitor [www.groupon.com] [US],/deals/gg-duracell-48-pack-with-24-aa-and-24-aaa-alkaline-batteries-7,www.groupon.com,"['deal-page@groupondev.opsgenie.net', 'deal-page@groupon.pagerduty.com']",1371787
Giftcard Preview [www.groupon.com] [US] -- Static Page,/gifts/preview,www.groupon.com,"['mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net', 'vc-alerts@groupondev.opsgenie.net']",1383698
Post Redemption Survey [www.groupon.com] [US],/post_redemption_survey?survey_key=pingdom-pingdom-check,www.groupon.com,"['mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net']",1400230
Merchant Place Pages [www.groupon.com] [US],/biz/newport-beach-ca/catalina-flyer,www.groupon.com,"['mpp-alerts@groupon.com', 'mpp-service@groupondev.opsgenie.net', 'mpp-dev@groupon.com']",1414979
Local [SEO] [www.groupon.com] [US]_Wolfhound,/local,www.groupon.com,"['seo-alerts@groupon.com', 'wolfhound-alerts@groupon.com', 'wolfhound-apps@groupondev.opsgenie.net']",1449846
Local Restaurants [SEO] [www.groupon.com] [US]_Wolfhound,/local/restaurants,www.groupon.com,"['seo-alerts@groupon.com', 'wolfhound-alerts@groupon.com', 'wolfhound-apps@groupondev.opsgenie.net']",1449847
Local Colorado [SEO] [www.groupon.com] [US]_Wolfhound,/local/colorado,www.groupon.com,"['seo-alerts@groupon.com', 'wolfhound-alerts@groupon.com', 'wolfhound-apps@groupondev.opsgenie.net']",1449848
Local Michigan Restaurants [SEO] [www.groupon.com] [US]_Wolfhound,/local/michigan/restaurants,www.groupon.com,"['seo-alerts@groupon.com', 'wolfhound-alerts@groupon.com', 'wolfhound-apps@groupondev.opsgenie.net']",1449849
Local Los Angeles [SEO] [www.groupon.com] [US]_Wolfhound,/local/los-angeles,www.groupon.com,"['seo-alerts@groupon.com', 'wolfhound-alerts@groupon.com', 'wolfhound-apps@groupondev.opsgenie.net']",1449850
Local Browse [NAM] - Things To Do In Miami_Wolfhound,/local/miami/things-to-do,www.groupon.com,"['seo-alerts@groupon.com', 'wolfhound-alerts@groupon.com', 'wolfhound-apps@groupondev.opsgenie.net']",1449851
Articles Jello Shot [SEO] [www.groupon.com] [US],/articles/this-is-not-a-jell-o-shot-fd,www.groupon.com,"['seo-alerts@groupon.com', 'wolfhound-dev@groupon.com']",1449856
My Account I-Tier [www.groupon.com] [US],/myaccount,www.groupon.com,['i-tier-devs@groupon.com'],1476321
robots.txt [www.groupon.com] [US],/robots.txt,www.groupon.com,['computational-seo@groupon.com'],1496913
sitemap.xml [www.groupon.com] [US],/sitemap.xml,www.groupon.com,['computational-seo@groupon.com'],1496916
Subscription Center [www.groupon.com] [US],/subscription_center,www.groupon.com,"['subscription-flow@groupon.pagerduty.com', 'subscription-flow@groupondev.opsgenie.net']",1590448
Track Order [US] - Order Not Found Page,/track_order/order_not_found,www.groupon.com,"['mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net']",1688551
Wishlist [www.groupon.com] [US],/wishlist,www.groupon.com,"['wishlist-alert@groupon.com', 'wishlist@groupondev.opsgenie.net']",1919502
Merchant Center v3 [www.groupon.com] [Internal Tool] [US],/merchant/center,www.groupon.com,['gmc-dev+alerts-production@groupon.com'],2215951
Merchant Center Auth App - Login [www.groupon.com] [Internal Tool] [US],/merchant/center/login,www.groupon.com,['gmc-dev+alerts-production@groupon.com'],2337439
Merchant Center Auth App - Password Reset [www.groupon.com] [Internal Tool] [US],/merchant/center/password-reset,www.groupon.com,['gmc-dev+alerts-production@groupon.com'],2337443
Merchant Center Auth App - Confirm Password Reset [www.groupon.com] [Internal Tool] [US],/merchant/center/confirm-password-reset/123456789,www.groupon.com,['gmc-dev+alerts-production@groupon.com'],2337444
Track Order - [United States] [www.groupon.com] [NA],/track_order/73c281fa-3d09-11ec-9938-5254c56d6faa,www.groupon.com,"['mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net']",2444059
Goods Gateway [www.groupon.com] [US],/goods-gateway/auth/login,www.groupon.com,['goods-blr@groupon.com'],2457754
Coupons Stores [www.groupon.com] [US],/coupons/stores,www.groupon.com,['coupons-alerts@groupon.com'],3197110
Self Service Merchant Signup [www.groupon.com/merchant/join] [US],/merchant/join,www.groupon.com,"['gmc-dev+alerts-production@groupon.com', 'gmc-dev-merchant-center@groupondev.opsgenie.net', 'gmc-dev-merchant-center@groupon.pagerduty.com']",4468827
Groupon NA - /signup (SSL),/signup,www.groupon.com,"['workflow-alerts@groupondev.opsgenie.net', 'workflow-alert@groupon.com', 'workflow-alerts@groupon.com', 'workflow-alerts@groupondev.opsgenie.net']",4757469
CLO Merchant [www.groupon.com] [Internal Tool] [US],/merchant/center/clo,www.groupon.com,['clo-dev@groupon.com'],5244078
Groupon Select [www.groupon.com] [US],/programs/select,www.groupon.com,"['select-dev@groupon.com', 'loyalty-alerts@groupon.com']",5402327
GrouponWorks [www.groupon.com] [US],/merchant,www.groupon.com,['sfint-dev-alerts@groupon.com'],5633064
Post Redemption Survey [www.groupon.com] [US],/post_redemption_survey,www.groupon.com,"['mygroupons-vouchers@groupon.pagerduty.com', 'mygroupons-vouchers@groupondev.opsgenie.net']",5633164
Coupons Target [www.groupon.com] [US],/coupons/target,www.groupon.com,['coupons-alerts@groupon.com'],5933568
Groupon Developer Portal [www.groupon.com] [US] [3PIP],/developers,www.groupon.com,"['3pip-docs-ita@groupondev.opsgenie.net', '3pip-docs-ita@groupon.pagerduty.com']",6907413
Booking-Tool-Merchant [US],/merchant/center/reservations,www.groupon.com,['booking-tool-engineers@groupon.com'],11518511
Coupons Amazon [US] [www.groupon.com] [North America],/coupons/amazon,www.groupon.com,['coupons-alerts@groupon.com'],12151226
Coupons Costco [US] [www.groupon.com] [North America],/coupons/costco,www.groupon.com,['coupons-alerts@groupon.com'],12165747
Homepage [www.groupon.com] [US] from EU,/,www.groupon.com,['pingdom@groupon.com'],12315110
Browse [US] - beauty-and-spas [US],/browse/chicago?topcategory=local&category=beauty-and-spas,www.groupon.com,"['incident-management@groupon.com', 'imoc-alerts@groupondev.opsgenie.net']",12391465
API v2 Local Deals [api.groupon.com] [US],/v2/deals?client_id=b4c789d8fc527005f041e30afabe3606b2e53077&division_id=chicago,api.groupon.com,"['ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",242825
S3 assets - AWS,/email/images/beauty_now/requested-mobile-2x.png,s3.grouponcdn.com,[],420051
API v2 Local Deals [api.groupon.de] [EMEA - UK],/api/mobile/UK/deals?client_id=fda9e680f9b0406d2d42821851456ded&division_id=london&limit=1,api.groupon.de,"['magnificent7@groupon.com', 'incident-management@groupon.com', 'imoc-alerts@groupondev.opsgenie.net']",11406221
Mapproxy,/maps/api/staticmap?size=10x10&sensor=false,mapproxy.groupon.com,['geo-team@groupon.com'],768062
Mapproxy-EU,/maps/api/staticmap?size=10x10&sensor=false,mapproxy-eu.groupon.com,['geo-team@groupon.com'],808340
Goods Commerce Interface,/,scm.commerceinterface.com,['goods-blr@groupon.com'],830839
Merchant Interface CDN URL,/static/theme/aquincum/css/styles.css,d17qivog0tgmy2.cloudfront.net,[],835331
Goods Commerce Interface S3 URL,/pingdom.txt,files.scm.commerceinterface.com,['goods-blr@groupon.com'],835332
Salesforce_na8,/,grouponna.force.com,"['salesforce-alerts@groupon.com', 'sfint-dev-alerts@groupon.com']",845917
Touch Login [touch.groupon.com] [US],/login,touch.groupon.com,[],1272825
Shop [United Kingdom] [groupon-shop.co.uk] [EMEA],/,groupon-shop.co.uk,[],3679714
Mobile App Download [United Kingdom] [www.groupon.co.uk] [EMEA],/mobile,www.groupon.co.uk,"['i-tier-mobile-redirect-page@groupon.pagerduty.com', 'i-tier-mobile-redirect-page@groupondev.opsgenie.net']",1125373
Homepage [United Kingdom] [www.groupon.co.uk] [EMEA],/?nlp,www.groupon.co.uk,"['incident-management@groupon.com', 'imoc-alerts@groupondev.opsgenie.net', 'ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1253786
Goods [United Kingdom] [www.groupon.co.uk] [EMEA],/goods,www.groupon.co.uk,"['ion+alerts+emergencies@groupon.pagerduty.com', 'ion+alerts+emergencies@groupondev.opsgenie.net']",1307125
